"ListingKey","ListingNumber","ListingCreationDate","CreditGrade","Term","LoanStatus","ClosedDate","BorrowerAPR","BorrowerRate","LenderYield","EstimatedEffectiveYield","EstimatedLoss","EstimatedReturn","ProsperRating (numeric)","ProsperRating (Alpha)","ProsperScore","ListingCategory (numeric)","BorrowerState","Occupation","EmploymentStatus","EmploymentStatusDuration","IsBorrowerHomeowner","CurrentlyInGroup","GroupKey","DateCreditPulled","CreditScoreRangeLower","CreditScoreRangeUpper","FirstRecordedCreditLine","CurrentCreditLines","OpenCreditLines","TotalCreditLinespast7years","OpenRevolvingAccounts","OpenRevolvingMonthlyPayment","InquiriesLast6Months","TotalInquiries","CurrentDelinquencies","AmountDelinquent","DelinquenciesLast7Years","PublicRecordsLast10Years","PublicRecordsLast12Months","RevolvingCreditBalance","BankcardUtilization","AvailableBankcardCredit","TotalTrades","TradesNeverDelinquent (percentage)","TradesOpenedLast6Months","DebtToIncomeRatio","IncomeRange","IncomeVerifiable","StatedMonthlyIncome","LoanKey","TotalProsperLoans","TotalProsperPaymentsBilled","OnTimeProsperPayments","ProsperPaymentsLessThanOneMonthLate","ProsperPaymentsOneMonthPlusLate","ProsperPrincipalBorrowed","ProsperPrincipalOutstanding","ScorexChangeAtTimeOfListing","LoanCurrentDaysDelinquent","LoanFirstDefaultedCycleNumber","LoanMonthsSinceOrigination","LoanNumber","LoanOriginalAmount","LoanOriginationDate","LoanOriginationQuarter","MemberKey","MonthlyLoanPayment","LP_CustomerPayments","LP_CustomerPrincipalPayments","LP_InterestandFees","LP_ServiceFees","LP_CollectionFees","LP_GrossPrincipalLoss","LP_NetPrincipalLoss","LP_NonPrincipalRecoverypayments","PercentFunded","Recommendations","InvestmentFromFriendsCount","InvestmentFromFriendsAmount","Investors"
"1021339766868145413AB3B","193129","2007-08-26 19:09:29.263000000","C","36","Completed","2009-08-14 00:00:00",".165160",".158000",".138000","","","","","","","0","CO","Other","Self-employed","2","True","True","","2007-08-26 18:41:46.780000000","640","659","2001-10-11 00:00:00","5","4","12","1","24.000000","3","3.000000","2","472.000000","4","0","0",".000000",".000000","1500.000000","11.000000",".810000",".000000",".170000","$25,000-49,999","True","3083.333333","E33A3400205839220442E84","","","","","","","","","0","","78","19141","9425","2007-09-12 00:00:00","Q3 2007","1F3E3376408759268057EDA","330.430000","11396.140000","9425.000000","1971.140000","-133.180000",".000000",".000000",".000000",".000000","1.000000","0","0",".000000","258"
"10273602499503308B223C1","1209647","2014-02-27 08:28:07.900000000","","36","Current","",".120160",".092000",".082000",".079600",".024900",".054700","6","A","7.000000","2","CO","Professional","Employed","44","False","False","","2014-02-27 08:28:14","680","699","1996-03-18 00:00:00","14","14","29","13","389.000000","3","5.000000","0",".000000","0","1","0","3989.000000",".210000","10266.000000","29.000000","1.000000","2.000000",".180000","$50,000-74,999","True","6125.000000","9E3B37071505919926B1D82","","","","","","","","","0","","0","134815","10000","2014-03-03 00:00:00","Q1 2014","1D13370546739025387B2F4","318.930000",".000000",".000000",".000000",".000000",".000000",".000000",".000000",".000000","1.000000","0","0",".000000","1"
"0EE9337825851032864889A","81716","2007-01-05 15:00:47.090000000","HR","36","Completed","2009-12-17 00:00:00",".282690",".275000",".240000","","","","","","","0","GA","Other","Not available","","False","True","783C3371218786870A73D20","2007-01-02 14:09:10.060000000","480","499","2002-07-27 00:00:00","","","3","0",".000000","0","1.000000","1","","0","0","","","","","","","",".060000","Not displayed","True","2083.333333","6954337960046817851BCB2","","","","","","","","","0","","86","6466","3001","2007-01-17 00:00:00","Q1 2007","5F7033715035555618FA612","123.320000","4186.630000","3001.000000","1185.630000","-24.200000",".000000",".000000",".000000",".000000","1.000000","0","0",".000000","41"
"0EF5356002482715299901A","658116","2012-10-22 11:02:35.010000000","","36","Current","",".125280",".097400",".087400",".084900",".024900",".060000","6","A","9.000000","16","GA","Skilled Labor","Employed","113","True","False","","2012-10-22 11:02:32","800","819","1983-02-28 00:00:00","5","5","29","7","115.000000","0","1.000000","4","10056.000000","14","0","0","1444.000000",".040000","30754.000000","26.000000",".760000",".000000",".150000","$25,000-49,999","True","2875.000000","A0393664465886295619C51","","","","","","","","","0","","16","77296","10000","2012-11-01 00:00:00","Q4 2012","9ADE356069835475068C6D2","321.450000","5143.200000","4091.090000","1052.110000","-108.010000",".000000",".000000",".000000",".000000","1.000000","0","0",".000000","158"
"0F023589499656230C5E3E2","909464","2013-09-14 18:38:39.097000000","","36","Current","",".246140",".208500",".198500",".183160",".092500",".090660","3","D","4.000000","2","MN","Executive","Employed","44","True","False","","2013-09-14 18:38:44","680","699","2004-02-20 00:00:00","19","19","49","6","220.000000","1","9.000000","0",".000000","0","0","0","6193.000000",".810000","695.000000","39.000000",".950000","2.000000",".260000","$100,000+","True","9583.333333","A180369302188889200689E","1","11","11","0","0","11000.000000","9947.900000","","0","","6","102670","15000","2013-09-20 00:00:00","Q3 2013","36CE356043264555721F06C","563.970000","2819.850000","1563.220000","1256.630000","-60.270000",".000000",".000000",".000000",".000000","1.000000","0","0",".000000","20"
"0F05359734824199381F61D","1074836","2013-12-14 08:26:37.093000000","","60","Current","",".154250",".131400",".121400",".115670",".044900",".070770","5","B","10.000000","1","NM","Professional","Employed","82","True","False","","2013-12-14 08:26:40","740","759","1973-03-01 00:00:00","21","17","49","13","1410.000000","0","2.000000","0",".000000","0","0","0","62999.000000",".390000","86509.000000","47.000000","1.000000",".000000",".360000","$100,000+","True","8333.333333","C3D63702273952547E79520","","","","","","","","","0","","3","123257","15000","2013-12-24 00:00:00","Q4 2013","874A3701157341738DE458F","342.370000","679.340000","351.890000","327.450000","-25.330000",".000000",".000000",".000000",".000000","1.000000","0","0",".000000","1"
"0F0A3576754255009D63151","750899","2013-04-12 09:52:56.147000000","","36","Current","",".310320",".271200",".261200",".238200",".127500",".110700","2","E","2.000000","1","KS","Sales - Retail","Employed","172","False","False","","2013-04-12 09:52:53","680","699","2000-09-29 00:00:00","10","7","20","6","214.000000","0",".000000","0",".000000","0","0","0","5812.000000",".720000","1929.000000","16.000000",".680000",".000000",".270000","$25,000-49,999","True","2083.333333","CE963680102927767790520","","","","","","","","","0","","11","88353","3000","2013-04-18 00:00:00","Q2 2013","AA4535764146102879D5959","122.670000","1226.700000","604.250000","622.450000","-22.950000",".000000",".000000",".000000",".000000","1.000000","0","0",".000000","1"
"0F1035772717087366F9EA7","768193","2013-05-05 06:49:27.493000000","","36","Current","",".239390",".201900",".191900",".178300",".079900",".098400","4","C","4.000000","2","CA","Laborer","Employed","103","False","False","","2013-05-05 06:49:25","700","719","1999-02-25 00:00:00","6","6","10","5","101.000000","3","16.000000","0",".000000","0","1","0","1260.000000",".130000","2181.000000","10.000000",".800000",".000000",".240000","$25,000-49,999","True","3355.750000","0C87368108902149313D53B","","","","","","","","","0","","10","90051","10000","2013-05-13 00:00:00","Q2 2013","737F347089545035681C074","372.600000","3353.400000","1955.890000","1397.510000","-69.210000",".000000",".000000",".000000",".000000","1.000000","0","0",".000000","1"
"0F043596202561788EA13D5","1023355","2013-12-02 10:43:39.117000000","","36","Current","",".076200",".062900",".052900",".052210",".009900",".042310","7","AA","9.000000","7","IL","Food Service","Employed","269","True","False","","2013-12-02 10:43:39","820","839","1993-04-01 00:00:00","17","16","32","12","219.000000","1","6.000000","0",".000000","0","0","0","9906.000000",".110000","77696.000000","29.000000","1.000000","1.000000",".250000","$25,000-49,999","True","3333.333333","02163700809231365A56A1C","","","","","","","","","0","","3","121268","10000","2013-12-12 00:00:00","Q4 2013","49A53699682291323D04D66","305.540000","611.080000","505.580000","105.500000","-16.770000",".000000",".000000",".000000",".000000","1.000000","0","0",".000000","1"
"0F043596202561788EA13D5","1023355","2013-12-02 10:43:39.117000000","","36","Current","",".076200",".062900",".052900",".052210",".009900",".042310","7","AA","11.000000","7","IL","Food Service","Employed","269","True","False","","2013-12-02 10:43:39","820","839","1993-04-01 00:00:00","17","16","32","12","219.000000","1","6.000000","0",".000000","0","0","0","9906.000000",".110000","77696.000000","29.000000","1.000000","1.000000",".250000","$25,000-49,999","True","3333.333333","02163700809231365A56A1C","","","","","","","","","0","","3","121268","10000","2013-12-12 00:00:00","Q4 2013","49A53699682291323D04D66","305.540000","611.080000","505.580000","105.500000","-16.770000",".000000",".000000",".000000",".000000","1.000000","0","0",".000000","1"
