RecordType,Origin,Month,CarrierName,Count,Cancellations,CarrierDelayMins,WeatherDelayMins,NasDelayMins,SecurityDelayMins,LateAircraftDelayMins
Totals,ATL,1,American Airlines,397
Delays,ATL,1,American Airlines,67.0,1.0,738.0,43.0,651.0,0.0,2898.0
Totals,ATL,2,American Airlines,358
Delays,ATL,2,American Airlines,40.0,19.0,1452.0,7.0,663.0,0.0,1490.0
Totals,ATL,3,American Airlines,493
Delays,ATL,3,American Airlines,78.0,17.0,1917.0,27.0,811.0,0.0,2638.0
Totals,ATL,4,American Airlines,469
Delays,ATL,4,American Airlines,55.0,4.0,1040.0,235.0,1705.0,0.0,1353.0
Totals,ATL,5,American Airlines,475
Delays,ATL,5,American Airlines,69.0,15.0,1269.0,688.0,1153.0,0.0,1832.0
Totals,ATL,6,American Airlines,484
Delays,ATL,6,American Airlines,78.0,5.0,1200.0,513.0,1229.0,0.0,2619.0
Totals,ATL,7,American Airlines,1046
Delays,ATL,7,American Airlines,165.0,8.0,2408.0,334.0,2094.0,13.0,4775.0
Totals,ATL,8,American Airlines,990
Delays,ATL,8,American Airlines,123.0,12.0,2396.0,497.0,2065.0,24.0,5161.0
Totals,ATL,9,American Airlines,919
Delays,ATL,9,American Airlines,67.0,8.0,869.0,242.0,1271.0,0.0,2245.0
Totals,ATL,10,American Airlines,975
Delays,ATL,10,American Airlines,93.0,8.0,1869.0,238.0,1433.0,0.0,1765.0
Totals,ATL,11,American Airlines,933
Delays,ATL,11,American Airlines,119.0,8.0,2633.0,423.0,1890.0,0.0,2579.0
Totals,ATL,12,American Airlines,934
Delays,ATL,12,American Airlines,117.0,13.0,2440.0,451.0,2845.0,23.0,4537.0
Totals,ATL,1,Alaska Airlines,31
Delays,ATL,1,Alaska Airlines,10.0,0.0,66.0,0.0,70.0,0.0,132.0
Totals,ATL,2,Alaska Airlines,28
Delays,ATL,2,Alaska Airlines,3.0,0.0,0.0,0.0,56.0,0.0,0.0
Totals,ATL,3,Alaska Airlines,31
Delays,ATL,3,Alaska Airlines,2.0,0.0,0,0,0,0,0
Totals,ATL,4,Alaska Airlines,30
Delays,ATL,4,Alaska Airlines,2.0,0.0,0.0,0.0,161.0,0.0,121.0
Totals,ATL,5,Alaska Airlines,31
Delays,ATL,5,Alaska Airlines,9.0,0.0,64.0,25.0,50.0,0.0,125.0
Totals,ATL,6,Alaska Airlines,30
Delays,ATL,6,Alaska Airlines,5.0,1.0,0.0,0.0,17.0,0.0,178.0
Totals,ATL,7,Alaska Airlines,31
Delays,ATL,7,Alaska Airlines,4.0,0.0,70.0,0.0,73.0,0.0,34.0
Totals,ATL,8,Alaska Airlines,39
Delays,ATL,8,Alaska Airlines,8.0,0.0,255.0,197.0,147.0,0.0,104.0
Totals,ATL,9,Alaska Airlines,60
Delays,ATL,9,Alaska Airlines,6.0,0.0,87.0,0.0,161.0,0.0,109.0
Totals,ATL,10,Alaska Airlines,62
Delays,ATL,10,Alaska Airlines,8.0,0.0,41.0,28.0,81.0,0.0,122.0
Totals,ATL,11,Alaska Airlines,59
Delays,ATL,11,Alaska Airlines,4.0,0.0,35.0,0.0,104.0,0.0,40.0
Totals,ATL,12,Alaska Airlines,59
Delays,ATL,12,Alaska Airlines,13.0,0.0,31.0,9.0,152.0,0.0,201.0
Totals,ATL,1,Delta Air Lines,18542
