RecordType,Origin,Month,CarrierName,Count,Cancellations,CarrierDelayMins,WeatherDelayMins,NasDelayMins,SecurityDelayMins,LateAircraftDelayMins
Totals,ATL,12,American Airlines,934
Delays,ATL,12,American Airlines,117.0,13.0,2440.0,451.0,2845.0,23.0,4537.0
Totals,ATL,12,Alaska Airlines,59
Delays,ATL,12,Alaska Airlines,13.0,0.0,31.0,9.0,152.0,0.0,201.0
Totals,ATL,12,Delta Air Lines,19289
Delays,ATL,12,Delta Air Lines,3356.0,62.0,50286.0,49979.0,29797.0,118.0,60505.0
Totals,ATL,12,ExpressJet Airlines,5320
Delays,ATL,12,ExpressJet Airlines,1196.0,94.0,40271.0,0.0,5613.0,0.0,33391.0
Totals,ATL,12,Frontier Airlines,433
Delays,ATL,12,Frontier Airlines,117.0,3.0,2263.0,80.0,2379.0,0.0,3499.0
Totals,ATL,12,Spirit Airlines,608
Delays,ATL,12,Spirit Airlines,245.0,13.0,6152.0,869.0,2888.0,83.0,6424.0
Totals,ATL,12,SkyWest Airlines,429
Delays,ATL,12,SkyWest Airlines,96.0,13.0,5554.0,165.0,888.0,0.0,5292.0
Totals,ATL,12,United Airlines,295
Delays,ATL,12,United Airlines,100.0,4.0,1449.0,271.0,2219.0,0.0,2881.0
Totals,ATL,12,Southwest Airlines,3652
Delays,ATL,12,Southwest Airlines,977.0,69.0,12725.0,3069.0,4966.0,24.0,27213.0
Totals,DEN,12,American Airlines,825
Delays,DEN,12,American Airlines,152.0,25.0,3619.0,688.0,3317.0,0.0,3369.0
Totals,DEN,12,Alaska Airlines,122
Delays,DEN,12,Alaska Airlines,15.0,1.0,152.0,33.0,276.0,0.0,751.0
Totals,DEN,12,JetBlue Airways,85
Delays,DEN,12,JetBlue Airways,24.0,0.0,225.0,8.0,238.0,0.0,842.0
Totals,DEN,12,Delta Air Lines,668
Delays,DEN,12,Delta Air Lines,146.0,1.0,3557.0,938.0,2720.0,0.0,3216.0
Totals,DEN,12,Frontier Airlines,2002
Delays,DEN,12,Frontier Airlines,551.0,18.0,10438.0,1322.0,13436.0,0.0,13779.0
Totals,DEN,12,Spirit Airlines,304
