RecordType,Origin,Month,CarrierName,Count,Cancellations,CarrierDelayMins,WeatherDelayMins,NasDelayMins,SecurityDelayMins,LateAircraftDelayMins
Totals,ATL,1,American Airlines,397
Delays,ATL,1,American Airlines,67.0,1.0,738.0,43.0,651.0,0.0,2898.0
Totals,ATL,1,Alaska Airlines,31
Delays,ATL,1,Alaska Airlines,10.0,0.0,66.0,0.0,70.0,0.0,132.0
Totals,ATL,1,Delta Air Lines,18542
Delays,ATL,1,Delta Air Lines,2335.0,90.0,40684.0,10879.0,21108.0,53.0,22731.0
Totals,ATL,1,ExpressJet Airlines,5257
Delays,ATL,1,ExpressJet Airlines,1059.0,50.0,35467.0,2.0,5291.0,0.0,19312.0
Totals,ATL,1,Frontier Airlines,188
Delays,ATL,1,Frontier Airlines,70.0,4.0,855.0,0.0,1574.0,0.0,1519.0
Totals,ATL,1,Envoy Air,133
Delays,ATL,1,Envoy Air,42.0,14.0,746.0,0.0,1432.0,0.0,1901.0
Totals,ATL,1,Spirit Airlines,248
Delays,ATL,1,Spirit Airlines,61.0,2.0,502.0,18.0,2052.0,0.0,608.0
Totals,ATL,1,SkyWest Airlines,309
Delays,ATL,1,SkyWest Airlines,91.0,9.0,1103.0,92.0,920.0,0.0,4671.0
Totals,ATL,1,United Airlines,219
Delays,ATL,1,United Airlines,47.0,15.0,357.0,113.0,675.0,0.0,938.0
Totals,ATL,1,US Airways,513
Delays,ATL,1,US Airways,53.0,13.0,633.0,194.0,1434.0,0.0,743.0
Totals,ATL,1,Southwest Airlines,3675
Delays,ATL,1,Southwest Airlines,884.0,65.0,10879.0,637.0,4182.0,58.0,19360.0
Totals,DEN,1,American Airlines,480
Delays,DEN,1,American Airlines,149.0,1.0,2810.0,70.0,2113.0,0.0,4096.0
Totals,DEN,1,Alaska Airlines,124
Delays,DEN,1,Alaska Airlines,14.0,0.0,152.0,46.0,274.0,0.0,188.0
Totals,DEN,1,JetBlue Airways,80
Delays,DEN,1,JetBlue Airways,23.0,5.0,126.0,13.0,493.0,0.0,885.0
Totals,DEN,1,Delta Air Lines,558
Delays,DEN,1,Delta Air Lines,100.0,6.0,2094.0,260.0,1221.0,0.0,1551.0
Totals,DEN,1,ExpressJet Airlines,1215
Delays,DEN,1,ExpressJet Airlines,355.0,33.0,8169.0,715.0,6916.0,0.0,6891.0
Totals,DEN,1,Frontier Airlines,1943
Delays,DEN,1,Frontier Airlines,426.0,10.0,5510.0,189.0,12007.0,0.0,11825.0
Totals,DEN,1,Spirit Airlines,273
Delays,DEN,1,Spirit Airlines,78.0,0.0,235.0,12.0,4224.0,0.0,1308.0
Totals,DEN,1,SkyWest Airlines,3625
Delays,DEN,1,SkyWest Airlines,1242.0,120.0,29267.0,2496.0,14281.0,8.0,33747.0
Totals,DEN,1,United Airlines,3761
Delays,DEN,1,United Airlines,1291.0,59.0,25389.0,2993.0,11940.0,0.0,17484.0
Totals,DEN,1,US Airways,378
Delays,DEN,1,US Airways,47.0,9.0,1225.0,3.0,1484.0,0.0,688.0
Totals,DEN,1,Southwest Airlines,4653
Delays,DEN,1,Southwest Airlines,1318.0,30.0,21949.0,1098.0,6532.0,104.0,26379.0
Totals,DFW,1,American Airlines,12455
Delays,DFW,1,American Airlines,2970.0,196.0,63828.0,2439.0,20223.0,218.0,61010.0
Totals,DFW,1,Alaska Airlines,106
Delays,DFW,1,Alaska Airlines,13.0,1.0,48.0,0.0,37.0,0.0,207.0
Totals,DFW,1,JetBlue Airways,50
Delays,DFW,1,JetBlue Airways,13.0,5.0,67.0,18.0,19.0,0.0,351.0
Totals,DFW,1,Delta Air Lines,406
Delays,DFW,1,Delta Air Lines,52.0,0.0,1555.0,18.0,353.0,0.0,965.0
Totals,DFW,1,ExpressJet Airlines,1370
Delays,DFW,1,ExpressJet Airlines,328.0,43.0,10393.0,0.0,2765.0,0.0,9270.0
Totals,DFW,1,Frontier Airlines,137
Delays,DFW,1,Frontier Airlines,29.0,1.0,285.0,0.0,570.0,0.0,957.0
Totals,DFW,1,Envoy Air,6709
Delays,DFW,1,Envoy Air,1769.0,244.0,45154.0,3952.0,14297.0,496.0,33295.0
Totals,DFW,1,Spirit Airlines,719
Delays,DFW,1,Spirit Airlines,127.0,5.0,658.0,17.0,6031.0,0.0,1154.0
Totals,DFW,1,SkyWest Airlines,385
Delays,DFW,1,SkyWest Airlines,104.0,5.0,1356.0,75.0,1348.0,15.0,4342.0
Totals,DFW,1,United Airlines,291
Delays,DFW,1,United Airlines,30.0,9.0,498.0,7.0,609.0,0.0,712.0
Totals,DFW,1,US Airways,525
Delays,DFW,1,US Airways,64.0,15.0,1343.0,2.0,968.0,0.0,1137.0
Totals,IAH,1,American Airlines,446
Delays,IAH,1,American Airlines,67.0,3.0,2256.0,0.0,569.0,0.0,2088.0
Totals,IAH,1,Alaska Airlines,31
Delays,IAH,1,Alaska Airlines,5.0,0.0,23.0,3.0,35.0,0.0,220.0
Totals,IAH,1,Delta Air Lines,224
Delays,IAH,1,Delta Air Lines,31.0,0.0,338.0,0.0,494.0,0.0,431.0
Totals,IAH,1,ExpressJet Airlines,5780
Delays,IAH,1,ExpressJet Airlines,804.0,42.0,17145.0,357.0,15213.0,0.0,15661.0
Totals,IAH,1,Frontier Airlines,116
Delays,IAH,1,Frontier Airlines,26.0,1.0,274.0,0.0,670.0,0.0,835.0
Totals,IAH,1,Spirit Airlines,360
Delays,IAH,1,Spirit Airlines,98.0,1.0,541.0,0.0,3340.0,0.0,1695.0
Totals,IAH,1,SkyWest Airlines,1147
Delays,IAH,1,SkyWest Airlines,280.0,7.0,6099.0,51.0,2962.0,0.0,7365.0
Totals,IAH,1,United Airlines,4855
Delays,IAH,1,United Airlines,1273.0,80.0,23343.0,565.0,10881.0,0.0,14370.0
Totals,IAH,1,US Airways,417
Delays,IAH,1,US Airways,52.0,5.0,1299.0,0.0,848.0,0.0,1022.0
Totals,LAS,1,American Airlines,888
Delays,LAS,1,American Airlines,118.0,7.0,5022.0,0.0,2646.0,16.0,5205.0
Totals,LAS,1,Alaska Airlines,383
Delays,LAS,1,Alaska Airlines,47.0,0.0,659.0,45.0,304.0,0.0,1485.0
Totals,LAS,1,JetBlue Airways,325
Delays,LAS,1,JetBlue Airways,54.0,9.0,859.0,0.0,863.0,0.0,1733.0
Totals,LAS,1,Delta Air Lines,831
Delays,LAS,1,Delta Air Lines,83.0,6.0,2186.0,138.0,1767.0,0.0,1986.0
Totals,LAS,1,Frontier Airlines,228
Delays,LAS,1,Frontier Airlines,54.0,1.0,1615.0,0.0,1144.0,0.0,2313.0
Totals,LAS,1,Hawaiian Airlines,75
Delays,LAS,1,Hawaiian Airlines,8.0,0.0,815.0,4.0,0.0,0.0,108.0
Totals,LAS,1,Spirit Airlines,739
Delays,LAS,1,Spirit Airlines,140.0,5.0,938.0,79.0,5618.0,0.0,1577.0
Totals,LAS,1,SkyWest Airlines,261
Delays,LAS,1,SkyWest Airlines,56.0,1.0,896.0,39.0,358.0,0.0,2327.0
Totals,LAS,1,United Airlines,1045
Delays,LAS,1,United Airlines,166.0,14.0,1947.0,18.0,3851.0,0.0,3440.0
Totals,LAS,1,US Airways,500
Delays,LAS,1,US Airways,36.0,9.0,948.0,0.0,1222.0,0.0,590.0
Totals,LAS,1,Virgin America,339
Delays,LAS,1,Virgin America,61.0,2.0,674.0,212.0,1170.0,0.0,1640.0
Totals,LAS,1,Southwest Airlines,5990
Delays,LAS,1,Southwest Airlines,1396.0,33.0,18540.0,1150.0,5457.0,0.0,32236.0
Totals,LAX,1,American Airlines,2632
Delays,LAX,1,American Airlines,301.0,41.0,6231.0,265.0,8221.0,108.0,7610.0
Totals,LAX,1,Alaska Airlines,592
