RecordType,Origin,Month,CarrierName,Count,Cancellations,CarrierDelayMins,WeatherDelayMins,NasDelayMins,SecurityDelayMins,LateAircraftDelayMins
Totals,ATL,7,American Airlines,1046
Delays,ATL,7,American Airlines,165.0,8.0,2408.0,334.0,2094.0,13.0,4775.0
Totals,ATL,7,Alaska Airlines,31
Delays,ATL,7,Alaska Airlines,4.0,0.0,70.0,0.0,73.0,0.0,34.0
Totals,ATL,7,Delta Air Lines,21591
Delays,ATL,7,Delta Air Lines,3896.0,12.0,67640.0,27051.0,43079.0,0.0,52285.0
Totals,ATL,7,ExpressJet Airlines,5477
Delays,ATL,7,ExpressJet Airlines,1142.0,11.0,36235.0,14.0,9066.0,0.0,20369.0
Totals,ATL,7,Frontier Airlines,528
Delays,ATL,7,Frontier Airlines,174.0,2.0,3503.0,73.0,6367.0,0.0,5543.0
Totals,ATL,7,Envoy Air,174
Delays,ATL,7,Envoy Air,42.0,17.0,461.0,59.0,1124.0,0.0,1238.0
Totals,ATL,7,Spirit Airlines,434
Delays,ATL,7,Spirit Airlines,158.0,4.0,2210.0,94.0,2863.0,114.0,5579.0
Totals,ATL,7,SkyWest Airlines,426
Delays,ATL,7,SkyWest Airlines,73.0,14.0,2502.0,240.0,1969.0,0.0,2197.0
Totals,ATL,7,United Airlines,315
Delays,ATL,7,United Airlines,84.0,8.0,1170.0,236.0,2034.0,0.0,2696.0
Totals,ATL,7,Southwest Airlines,3713
Delays,ATL,7,Southwest Airlines,1206.0,11.0,20828.0,2857.0,7115.0,21.0,33991.0
Totals,DEN,7,American Airlines,951
Delays,DEN,7,American Airlines,148.0,7.0,3205.0,285.0,1514.0,0.0,5504.0
Totals,DEN,7,Alaska Airlines,182
Delays,DEN,7,Alaska Airlines,11.0,0.0,382.0,0.0,142.0,0.0,153.0
Totals,DEN,7,JetBlue Airways,93
Delays,DEN,7,JetBlue Airways,32.0,1.0,75.0,18.0,188.0,0.0,707.0
Totals,DEN,7,Delta Air Lines,697
Delays,DEN,7,Delta Air Lines,116.0,0.0,2953.0,68.0,1268.0,0.0,1874.0
Totals,DEN,7,ExpressJet Airlines,13
Delays,DEN,7,ExpressJet Airlines,4.0,2.0,254.0,0.0,0.0,0.0,0.0
Totals,DEN,7,Frontier Airlines,1968
Delays,DEN,7,Frontier Airlines,408.0,2.0,5466.0,495.0,10260.0,0.0,6547.0
Totals,DEN,7,Spirit Airlines,403
Delays,DEN,7,Spirit Airlines,103.0,6.0,1156.0,130.0,1984.0,0.0,3118.0
Totals,DEN,7,SkyWest Airlines,4675
Delays,DEN,7,SkyWest Airlines,1094.0,45.0,21572.0,3944.0,7166.0,0.0,27853.0
Totals,DEN,7,United Airlines,4549
Delays,DEN,7,United Airlines,1376.0,40.0,22255.0,3867.0,10009.0,0.0,36332.0
Totals,DEN,7,Southwest Airlines,5545
Delays,DEN,7,Southwest Airlines,1702.0,17.0,28445.0,2612.0,8974.0,29.0,41237.0
Totals,DFW,7,American Airlines,13163
