RecordType,Origin,Month,CarrierName,Count,Cancellations,CarrierDelayMins,WeatherDelayMins,NasDelayMins,SecurityDelayMins,LateAircraftDelayMins
Totals,ATL,3,American Airlines,493
Delays,ATL,3,American Airlines,78.0,17.0,1917.0,27.0,811.0,0.0,2638.0
Totals,ATL,3,Alaska Airlines,31
Delays,ATL,3,Alaska Airlines,2.0,0.0,0,0,0,0,0
Totals,ATL,3,Delta Air Lines,20962
Delays,ATL,3,Delta Air Lines,3327.0,65.0,60182.0,11072.0,27281.0,53.0,22605.0
Totals,ATL,3,ExpressJet Airlines,5775
Delays,ATL,3,ExpressJet Airlines,1192.0,79.0,36408.0,24.0,6974.0,0.0,21584.0
Totals,ATL,3,Frontier Airlines,283
Delays,ATL,3,Frontier Airlines,118.0,1.0,1660.0,104.0,2829.0,0.0,5096.0
Totals,ATL,3,Envoy Air,130
Delays,ATL,3,Envoy Air,44.0,15.0,636.0,69.0,1466.0,0.0,710.0
Totals,ATL,3,Spirit Airlines,248
Delays,ATL,3,Spirit Airlines,50.0,1.0,721.0,83.0,1192.0,0.0,1272.0
Totals,ATL,3,SkyWest Airlines,351
Delays,ATL,3,SkyWest Airlines,66.0,4.0,674.0,115.0,385.0,0.0,2218.0
Totals,ATL,3,United Airlines,306
Delays,ATL,3,United Airlines,49.0,11.0,514.0,98.0,1111.0,0.0,1224.0
Totals,ATL,3,US Airways,500
Delays,ATL,3,US Airways,55.0,7.0,753.0,19.0,704.0,0.0,1531.0
Totals,ATL,3,Southwest Airlines,3675
Delays,ATL,3,Southwest Airlines,927.0,69.0,14374.0,903.0,3690.0,8.0,13798.0
Totals,DEN,3,American Airlines,495
Delays,DEN,3,American Airlines,95.0,12.0,3000.0,26.0,1290.0,0.0,3027.0
Totals,DEN,3,Alaska Airlines,145
Delays,DEN,3,Alaska Airlines,5.0,0.0,55.0,0.0,104.0,0.0,21.0
Totals,DEN,3,JetBlue Airways,89
Delays,DEN,3,JetBlue Airways,36.0,1.0,173.0,0.0,108.0,0.0,1264.0
Totals,DEN,3,Delta Air Lines,685
