RecordType,Origin,Month,CarrierName,Count,Cancellations,CarrierDelayMins,WeatherDelayMins,NasDelayMins,SecurityDelayMins,LateAircraftDelayMins
Totals,ATL,11,American Airlines,933
Delays,ATL,11,American Airlines,119.0,8.0,2633.0,423.0,1890.0,0.0,2579.0
Totals,ATL,11,Alaska Airlines,59
Delays,ATL,11,Alaska Airlines,4.0,0.0,35.0,0.0,104.0,0.0,40.0
Totals,ATL,11,Delta Air Lines,20185
Delays,ATL,11,Delta Air Lines,2291.0,2.0,41363.0,6255.0,21176.0,32.0,16928.0
Totals,ATL,11,ExpressJet Airlines,4387
Delays,ATL,11,ExpressJet Airlines,835.0,17.0,25207.0,0.0,4441.0,0.0,15429.0
Totals,ATL,11,Frontier Airlines,422
Delays,ATL,11,Frontier Airlines,132.0,0.0,2927.0,25.0,3557.0,0.0,4798.0
Totals,ATL,11,Envoy Air,24
Delays,ATL,11,Envoy Air,9.0,1.0,1.0,0.0,296.0,0.0,304.0
Totals,ATL,11,Spirit Airlines,604
Delays,ATL,11,Spirit Airlines,181.0,4.0,3162.0,170.0,4731.0,179.0,993.0
Totals,ATL,11,SkyWest Airlines,479
Delays,ATL,11,SkyWest Airlines,79.0,6.0,2529.0,205.0,1086.0,0.0,2198.0
Totals,ATL,11,United Airlines,324
Delays,ATL,11,United Airlines,67.0,1.0,584.0,96.0,1205.0,0.0,1938.0
Totals,ATL,11,Southwest Airlines,3490
Delays,ATL,11,Southwest Airlines,627.0,23.0,8899.0,903.0,3562.0,0.0,9416.0
Totals,DEN,11,American Airlines,755
Delays,DEN,11,American Airlines,128.0,16.0,5115.0,166.0,3341.0,0.0,3162.0
Totals,DEN,11,Alaska Airlines,115
Delays,DEN,11,Alaska Airlines,18.0,1.0,142.0,0.0,606.0,0.0,233.0
Totals,DEN,11,JetBlue Airways,80
Delays,DEN,11,JetBlue Airways,18.0,2.0,133.0,5.0,207.0,0.0,718.0
Totals,DEN,11,Delta Air Lines,628
Delays,DEN,11,Delta Air Lines,88.0,0.0,1625.0,392.0,2556.0,0.0,1591.0
Totals,DEN,11,Frontier Airlines,1920
Delays,DEN,11,Frontier Airlines,438.0,6.0,6537.0,322.0,13955.0,0.0,7550.0
Totals,DEN,11,Spirit Airlines,300
Delays,DEN,11,Spirit Airlines,63.0,4.0,399.0,54.0,2973.0,0.0,1559.0
Totals,DEN,11,SkyWest Airlines,3821
Delays,DEN,11,SkyWest Airlines,713.0,75.0,14403.0,1667.0,12817.0,13.0,20726.0
Totals,DEN,11,United Airlines,4424
Delays,DEN,11,United Airlines,828.0,47.0,15300.0,1117.0,14387.0,0.0,19112.0
Totals,DEN,11,Southwest Airlines,5074
Delays,DEN,11,Southwest Airlines,1011.0,78.0,12565.0,1609.0,11306.0,11.0,20871.0
Totals,DFW,11,American Airlines,11558
Delays,DFW,11,American Airlines,2411.0,90.0,43663.0,12593.0,25865.0,197.0,47981.0
Totals,DFW,11,Alaska Airlines,89
Delays,DFW,11,Alaska Airlines,20.0,0.0,316.0,0.0,148.0,0.0,212.0
Totals,DFW,11,JetBlue Airways,55
Delays,DFW,11,JetBlue Airways,13.0,0.0,96.0,18.0,136.0,0.0,208.0
Totals,DFW,11,Delta Air Lines,403
Delays,DFW,11,Delta Air Lines,48.0,0.0,1623.0,166.0,470.0,0.0,943.0
Totals,DFW,11,ExpressJet Airlines,2514
Delays,DFW,11,ExpressJet Airlines,503.0,55.0,16195.0,0.0,3720.0,0.0,11604.0
Totals,DFW,11,Frontier Airlines,116
Delays,DFW,11,Frontier Airlines,25.0,0.0,232.0,71.0,753.0,0.0,508.0
Totals,DFW,11,Envoy Air,3446
Delays,DFW,11,Envoy Air,395.0,47.0,5657.0,5072.0,3869.0,43.0,7119.0
Totals,DFW,11,Spirit Airlines,711
Delays,DFW,11,Spirit Airlines,107.0,6.0,927.0,64.0,3380.0,0.0,1290.0
Totals,DFW,11,SkyWest Airlines,338
Delays,DFW,11,SkyWest Airlines,56.0,6.0,2613.0,32.0,992.0,0.0,2124.0
Totals,DFW,11,United Airlines,304
Delays,DFW,11,United Airlines,51.0,1.0,969.0,96.0,1349.0,0.0,1209.0
Totals,IAH,11,American Airlines,772
Delays,IAH,11,American Airlines,101.0,2.0,3418.0,482.0,2143.0,0.0,4095.0
Totals,IAH,11,Alaska Airlines,30
Delays,IAH,11,Alaska Airlines,2.0,0.0,0.0,0.0,15.0,0.0,265.0
Totals,IAH,11,Delta Air Lines,222
Delays,IAH,11,Delta Air Lines,20.0,0.0,174.0,3.0,118.0,0.0,972.0
Totals,IAH,11,ExpressJet Airlines,4308
Delays,IAH,11,ExpressJet Airlines,415.0,41.0,7702.0,2312.0,7030.0,0.0,8474.0
Totals,IAH,11,Frontier Airlines,164
Delays,IAH,11,Frontier Airlines,35.0,0.0,455.0,0.0,786.0,0.0,970.0
Totals,IAH,11,Spirit Airlines,505
Delays,IAH,11,Spirit Airlines,171.0,2.0,3198.0,208.0,3855.0,61.0,2076.0
Totals,IAH,11,SkyWest Airlines,1827
Delays,IAH,11,SkyWest Airlines,349.0,18.0,7253.0,334.0,3910.0,18.0,8254.0
Totals,IAH,11,United Airlines,4879
Delays,IAH,11,United Airlines,1053.0,16.0,17909.0,5200.0,13695.0,0.0,22236.0
Totals,LAS,11,American Airlines,1219
Delays,LAS,11,American Airlines,116.0,4.0,1654.0,335.0,2716.0,39.0,3320.0
Totals,LAS,11,Alaska Airlines,351
Delays,LAS,11,Alaska Airlines,39.0,0.0,64.0,47.0,619.0,0.0,1424.0
Totals,LAS,11,JetBlue Airways,353
Delays,LAS,11,JetBlue Airways,89.0,0.0,1973.0,0.0,676.0,0.0,2596.0
Totals,LAS,11,Delta Air Lines,1012
Delays,LAS,11,Delta Air Lines,102.0,0.0,3190.0,48.0,1406.0,0.0,985.0
Totals,LAS,11,Frontier Airlines,521
Delays,LAS,11,Frontier Airlines,85.0,1.0,1389.0,0.0,2712.0,0.0,2766.0
Totals,LAS,11,Hawaiian Airlines,73
Delays,LAS,11,Hawaiian Airlines,7.0,0.0,522.0,0.0,0.0,0.0,204.0
Totals,LAS,11,Spirit Airlines,866
Delays,LAS,11,Spirit Airlines,171.0,5.0,1164.0,284.0,3798.0,0.0,2882.0
Totals,LAS,11,SkyWest Airlines,177
Delays,LAS,11,SkyWest Airlines,27.0,1.0,129.0,44.0,264.0,0.0,760.0
Totals,LAS,11,United Airlines,971
Delays,LAS,11,United Airlines,129.0,5.0,1775.0,42.0,2720.0,0.0,2392.0
Totals,LAS,11,Virgin America,324
Delays,LAS,11,Virgin America,64.0,1.0,666.0,44.0,911.0,106.0,1995.0
Totals,LAS,11,Southwest Airlines,6038
Delays,LAS,11,Southwest Airlines,1336.0,27.0,19684.0,982.0,6680.0,0.0,22979.0
Totals,LAX,11,American Airlines,3154
Delays,LAX,11,American Airlines,367.0,12.0,8188.0,1439.0,4200.0,61.0,4628.0
Totals,LAX,11,Alaska Airlines,807
Delays,LAX,11,Alaska Airlines,74.0,2.0,672.0,0.0,1342.0,38.0,1365.0
Totals,LAX,11,JetBlue Airways,392
Delays,LAX,11,JetBlue Airways,79.0,1.0,1129.0,0.0,1587.0,449.0,1774.0
