RecordType,Origin,Month,CarrierName,Count,Cancellations,CarrierDelayMins,WeatherDelayMins,NasDelayMins,SecurityDelayMins,LateAircraftDelayMins
Totals,ATL,10,American Airlines,975
Delays,ATL,10,American Airlines,93.0,8.0,1869.0,238.0,1433.0,0.0,1765.0
Totals,ATL,10,Alaska Airlines,62
Delays,ATL,10,Alaska Airlines,8.0,0.0,41.0,28.0,81.0,0.0,122.0
Totals,ATL,10,Delta Air Lines,20971
Delays,ATL,10,Delta Air Lines,1892.0,3.0,34988.0,661.0,14857.0,64.0,7704.0
Totals,ATL,10,ExpressJet Airlines,5045
Delays,ATL,10,ExpressJet Airlines,800.0,6.0,25158.0,0.0,3959.0,0.0,10289.0
Totals,ATL,10,Frontier Airlines,533
Delays,ATL,10,Frontier Airlines,104.0,2.0,2435.0,0.0,2193.0,0.0,1548.0
Totals,ATL,10,Envoy Air,31
Delays,ATL,10,Envoy Air,2.0,0.0,8.0,0.0,0.0,0.0,105.0
Totals,ATL,10,Spirit Airlines,634
Delays,ATL,10,Spirit Airlines,219.0,3.0,1233.0,0.0,10344.0,89.0,739.0
Totals,ATL,10,SkyWest Airlines,377
Delays,ATL,10,SkyWest Airlines,31.0,2.0,529.0,0.0,231.0,0.0,1391.0
Totals,ATL,10,United Airlines,375
Delays,ATL,10,United Airlines,46.0,2.0,304.0,0.0,1011.0,0.0,676.0
Totals,ATL,10,Southwest Airlines,3585
Delays,ATL,10,Southwest Airlines,498.0,5.0,7549.0,1052.0,2899.0,40.0,5614.0
Totals,DEN,10,American Airlines,810
Delays,DEN,10,American Airlines,108.0,7.0,3535.0,7.0,1582.0,0.0,2525.0
Totals,DEN,10,Alaska Airlines,127
Delays,DEN,10,Alaska Airlines,13.0,0.0,30.0,12.0,144.0,0.0,450.0
Totals,DEN,10,JetBlue Airways,87
Delays,DEN,10,JetBlue Airways,29.0,0.0,109.0,0.0,99.0,0.0,430.0
Totals,DEN,10,Delta Air Lines,715
Delays,DEN,10,Delta Air Lines,54.0,0.0,2666.0,0.0,459.0,0.0,483.0
Totals,DEN,10,Frontier Airlines,2080
Delays,DEN,10,Frontier Airlines,235.0,1.0,3714.0,15.0,3434.0,0.0,3444.0
Totals,DEN,10,Spirit Airlines,317
Delays,DEN,10,Spirit Airlines,47.0,3.0,532.0,0.0,3474.0,0.0,283.0
Totals,DEN,10,SkyWest Airlines,4028
Delays,DEN,10,SkyWest Airlines,555.0,15.0,10249.0,475.0,3472.0,28.0,11346.0
Totals,DEN,10,United Airlines,4722
Delays,DEN,10,United Airlines,780.0,5.0,10505.0,169.0,5460.0,0.0,16479.0
Totals,DEN,10,Southwest Airlines,5250
Delays,DEN,10,Southwest Airlines,845.0,2.0,9254.0,1141.0,3980.0,0.0,12582.0
Totals,DFW,10,American Airlines,12288
Delays,DFW,10,American Airlines,1806.0,221.0,37434.0,19991.0,18800.0,69.0,39090.0
Totals,DFW,10,Alaska Airlines,134
Delays,DFW,10,Alaska Airlines,11.0,0.0,68.0,33.0,445.0,0.0,294.0
Totals,DFW,10,JetBlue Airways,57
Delays,DFW,10,JetBlue Airways,12.0,0.0,466.0,32.0,68.0,0.0,224.0
Totals,DFW,10,Delta Air Lines,465
Delays,DFW,10,Delta Air Lines,46.0,0.0,1414.0,171.0,635.0,0.0,1294.0
Totals,DFW,10,ExpressJet Airlines,2605
Delays,DFW,10,ExpressJet Airlines,350.0,82.0,14165.0,0.0,3076.0,0.0,7215.0
Totals,DFW,10,Frontier Airlines,142
Delays,DFW,10,Frontier Airlines,21.0,0.0,189.0,2.0,487.0,0.0,530.0
Totals,DFW,10,Envoy Air,3895
Delays,DFW,10,Envoy Air,451.0,103.0,7195.0,6297.0,5838.0,21.0,6392.0
Totals,DFW,10,Spirit Airlines,762
Delays,DFW,10,Spirit Airlines,96.0,3.0,78.0,100.0,5108.0,0.0,161.0
Totals,DFW,10,SkyWest Airlines,367
Delays,DFW,10,SkyWest Airlines,49.0,3.0,2084.0,446.0,606.0,0.0,1461.0
Totals,DFW,10,United Airlines,329
Delays,DFW,10,United Airlines,50.0,1.0,805.0,473.0,1439.0,0.0,1155.0
Totals,IAH,10,American Airlines,820
Delays,IAH,10,American Airlines,112.0,5.0,2594.0,522.0,1383.0,0.0,2795.0
Totals,IAH,10,Alaska Airlines,31
Delays,IAH,10,Alaska Airlines,1.0,0.0,0,0,0,0,0
Totals,IAH,10,Delta Air Lines,221
Delays,IAH,10,Delta Air Lines,20.0,0.0,176.0,0.0,104.0,0.0,366.0
Totals,IAH,10,ExpressJet Airlines,4730
