RecordType,Origin,Month,CarrierName,Count,Cancellations,CarrierDelayMins,WeatherDelayMins,NasDelayMins,SecurityDelayMins,LateAircraftDelayMins
Totals,ATL,8,American Airlines,990
Delays,ATL,8,American Airlines,123.0,12.0,2396.0,497.0,2065.0,24.0,5161.0
Totals,ATL,8,Alaska Airlines,39
Delays,ATL,8,Alaska Airlines,8.0,0.0,255.0,197.0,147.0,0.0,104.0
Totals,ATL,8,Delta Air Lines,21635
Delays,ATL,8,Delta Air Lines,3749.0,11.0,59484.0,30976.0,41233.0,96.0,52546.0
Totals,ATL,8,ExpressJet Airlines,5393
Delays,ATL,8,ExpressJet Airlines,1135.0,22.0,38206.0,42.0,8385.0,0.0,23006.0
Totals,ATL,8,Frontier Airlines,538
Delays,ATL,8,Frontier Airlines,127.0,3.0,2433.0,39.0,4750.0,0.0,3464.0
Totals,ATL,8,Envoy Air,171
Delays,ATL,8,Envoy Air,41.0,9.0,153.0,69.0,661.0,0.0,1157.0
Totals,ATL,8,Spirit Airlines,469
Delays,ATL,8,Spirit Airlines,193.0,3.0,2530.0,0.0,7513.0,36.0,2845.0
Totals,ATL,8,SkyWest Airlines,439
Delays,ATL,8,SkyWest Airlines,61.0,11.0,1167.0,65.0,1764.0,55.0,2441.0
Totals,ATL,8,United Airlines,317
Delays,ATL,8,United Airlines,66.0,4.0,852.0,132.0,1739.0,0.0,1835.0
Totals,ATL,8,Southwest Airlines,3716
Delays,ATL,8,Southwest Airlines,980.0,23.0,16019.0,1977.0,8147.0,0.0,23937.0
Totals,DEN,8,American Airlines,958
Delays,DEN,8,American Airlines,139.0,2.0,2458.0,356.0,1823.0,17.0,4311.0
Totals,DEN,8,Alaska Airlines,173
Delays,DEN,8,Alaska Airlines,20.0,1.0,182.0,8.0,969.0,0.0,460.0
Totals,DEN,8,JetBlue Airways,98
Delays,DEN,8,JetBlue Airways,32.0,0.0,326.0,0.0,155.0,0.0,820.0
Totals,DEN,8,Delta Air Lines,701
Delays,DEN,8,Delta Air Lines,115.0,0.0,2927.0,120.0,1157.0,0.0,2733.0
Totals,DEN,8,Frontier Airlines,1993
Delays,DEN,8,Frontier Airlines,277.0,2.0,4729.0,158.0,8132.0,0.0,5091.0
Totals,DEN,8,Spirit Airlines,392
Delays,DEN,8,Spirit Airlines,118.0,5.0,868.0,54.0,4232.0,0.0,2972.0
Totals,DEN,8,SkyWest Airlines,4613
Delays,DEN,8,SkyWest Airlines,858.0,31.0,18754.0,999.0,5290.0,160.0,17897.0
Totals,DEN,8,United Airlines,4548
Delays,DEN,8,United Airlines,991.0,25.0,15594.0,1723.0,9836.0,0.0,23543.0
Totals,DEN,8,Southwest Airlines,5390
Delays,DEN,8,Southwest Airlines,1212.0,10.0,17167.0,2243.0,8382.0,60.0,27480.0
Totals,DFW,8,American Airlines,12862
Delays,DFW,8,American Airlines,2587.0,56.0,51568.0,428.0,19046.0,3.0,41659.0
Totals,DFW,8,Alaska Airlines,155
Delays,DFW,8,Alaska Airlines,14.0,0.0,376.0,0.0,323.0,0.0,333.0
Totals,DFW,8,JetBlue Airways,57
Delays,DFW,8,JetBlue Airways,14.0,0.0,175.0,0.0,183.0,0.0,345.0
Totals,DFW,8,Delta Air Lines,527
Delays,DFW,8,Delta Air Lines,56.0,1.0,3526.0,0.0,457.0,0.0,1075.0
Totals,DFW,8,ExpressJet Airlines,2787
Delays,DFW,8,ExpressJet Airlines,593.0,23.0,18768.0,0.0,2972.0,0.0,12247.0
Totals,DFW,8,Frontier Airlines,124
Delays,DFW,8,Frontier Airlines,13.0,0.0,84.0,0.0,336.0,0.0,671.0
Totals,DFW,8,Envoy Air,4181
Delays,DFW,8,Envoy Air,655.0,24.0,15064.0,1315.0,3403.0,218.0,9894.0
Totals,DFW,8,Spirit Airlines,854
Delays,DFW,8,Spirit Airlines,223.0,3.0,2741.0,27.0,9666.0,7.0,3894.0
Totals,DFW,8,SkyWest Airlines,408
Delays,DFW,8,SkyWest Airlines,73.0,11.0,1501.0,128.0,1421.0,0.0,2441.0
Totals,DFW,8,United Airlines,343
Delays,DFW,8,United Airlines,50.0,1.0,1184.0,10.0,746.0,0.0,1502.0
Totals,IAH,8,American Airlines,859
Delays,IAH,8,American Airlines,130.0,16.0,3290.0,177.0,1341.0,34.0,4353.0
Totals,IAH,8,Alaska Airlines,52
Delays,IAH,8,Alaska Airlines,8.0,0.0,88.0,121.0,147.0,0.0,49.0
Totals,IAH,8,Delta Air Lines,346
Delays,IAH,8,Delta Air Lines,51.0,0.0,1520.0,58.0,1243.0,0.0,1137.0
Totals,IAH,8,ExpressJet Airlines,5123
Delays,IAH,8,ExpressJet Airlines,624.0,70.0,12655.0,4336.0,11823.0,0.0,11978.0
Totals,IAH,8,Frontier Airlines,155
Delays,IAH,8,Frontier Airlines,28.0,0.0,320.0,0.0,555.0,0.0,1395.0
