RecordType,Origin,Month,CarrierName,Count,Cancellations,CarrierDelayMins,WeatherDelayMins,NasDelayMins,SecurityDelayMins,LateAircraftDelayMins
Totals,ATL,4,American Airlines,469
Delays,ATL,4,American Airlines,55.0,4.0,1040.0,235.0,1705.0,0.0,1353.0
Totals,ATL,4,Alaska Airlines,30
Delays,ATL,4,Alaska Airlines,2.0,0.0,0.0,0.0,161.0,0.0,121.0
Totals,ATL,4,Delta Air Lines,20235
Delays,ATL,4,Delta Air Lines,2778.0,44.0,47011.0,16863.0,28825.0,25.0,32776.0
Totals,ATL,4,ExpressJet Airlines,5266
Delays,ATL,4,ExpressJet Airlines,951.0,19.0,30524.0,0.0,7066.0,0.0,14429.0
Totals,ATL,4,Frontier Airlines,322
Delays,ATL,4,Frontier Airlines,113.0,2.0,1338.0,0.0,4161.0,0.0,2958.0
Totals,ATL,4,Envoy Air,138
Delays,ATL,4,Envoy Air,34.0,9.0,194.0,15.0,515.0,0.0,1029.0
Totals,ATL,4,Spirit Airlines,256
Delays,ATL,4,Spirit Airlines,73.0,0.0,1041.0,16.0,2917.0,0.0,1231.0
Totals,ATL,4,SkyWest Airlines,337
Delays,ATL,4,SkyWest Airlines,51.0,7.0,345.0,251.0,1656.0,0.0,1922.0
Totals,ATL,4,United Airlines,331
Delays,ATL,4,United Airlines,82.0,4.0,1011.0,209.0,1367.0,0.0,2194.0
Totals,ATL,4,US Airways,431
Delays,ATL,4,US Airways,53.0,0.0,366.0,37.0,1181.0,0.0,1285.0
Totals,ATL,4,Southwest Airlines,3555
Delays,ATL,4,Southwest Airlines,814.0,13.0,9726.0,449.0,5307.0,18.0,15497.0
Totals,DEN,4,American Airlines,443
Delays,DEN,4,American Airlines,70.0,5.0,975.0,32.0,1944.0,0.0,1677.0
Totals,DEN,4,Alaska Airlines,146
Delays,DEN,4,Alaska Airlines,14.0,0.0,863.0,0.0,141.0,0.0,112.0
Totals,DEN,4,JetBlue Airways,86
Delays,DEN,4,JetBlue Airways,27.0,1.0,252.0,65.0,460.0,0.0,856.0
Totals,DEN,4,Delta Air Lines,645
Delays,DEN,4,Delta Air Lines,82.0,1.0,1290.0,54.0,1684.0,0.0,1855.0
Totals,DEN,4,ExpressJet Airlines,878
Delays,DEN,4,ExpressJet Airlines,134.0,8.0,2037.0,463.0,3419.0,0.0,4007.0
Totals,DEN,4,Frontier Airlines,1973
Delays,DEN,4,Frontier Airlines,395.0,1.0,4851.0,343.0,12358.0,0.0,6017.0
Totals,DEN,4,Spirit Airlines,345
Delays,DEN,4,Spirit Airlines,65.0,5.0,492.0,19.0,2448.0,0.0,1723.0
Totals,DEN,4,SkyWest Airlines,3882
Delays,DEN,4,SkyWest Airlines,683.0,62.0,13133.0,2017.0,8896.0,69.0,20259.0
Totals,DEN,4,United Airlines,3741
Delays,DEN,4,United Airlines,948.0,21.0,15760.0,1930.0,10297.0,0.0,22347.0
Totals,DEN,4,US Airways,363
Delays,DEN,4,US Airways,37.0,1.0,1120.0,0.0,658.0,0.0,396.0
Totals,DEN,4,Southwest Airlines,5007
Delays,DEN,4,Southwest Airlines,1010.0,28.0,15595.0,1459.0,7870.0,0.0,21296.0
Totals,DFW,4,American Airlines,12104
Delays,DFW,4,American Airlines,3042.0,105.0,46462.0,27406.0,22859.0,236.0,73736.0
Totals,DFW,4,Alaska Airlines,120
Delays,DFW,4,Alaska Airlines,16.0,1.0,513.0,71.0,156.0,0.0,139.0
Totals,DFW,4,JetBlue Airways,56
Delays,DFW,4,JetBlue Airways,13.0,2.0,43.0,35.0,239.0,0.0,155.0
Totals,DFW,4,Delta Air Lines,441
Delays,DFW,4,Delta Air Lines,93.0,1.0,1542.0,389.0,506.0,0.0,1556.0
Totals,DFW,4,ExpressJet Airlines,1746
Delays,DFW,4,ExpressJet Airlines,478.0,52.0,16114.0,0.0,3160.0,0.0,15815.0
Totals,DFW,4,Frontier Airlines,116
Delays,DFW,4,Frontier Airlines,31.0,0.0,82.0,0.0,1311.0,0.0,541.0
Totals,DFW,4,Envoy Air,5300
Delays,DFW,4,Envoy Air,1290.0,171.0,14210.0,21042.0,9749.0,404.0,22174.0
Totals,DFW,4,Spirit Airlines,794
Delays,DFW,4,Spirit Airlines,172.0,3.0,1727.0,1322.0,6528.0,22.0,1724.0
Totals,DFW,4,SkyWest Airlines,482
Delays,DFW,4,SkyWest Airlines,102.0,9.0,1694.0,327.0,2217.0,0.0,2925.0
Totals,DFW,4,United Airlines,211
Delays,DFW,4,United Airlines,50.0,1.0,1253.0,58.0,544.0,0.0,2151.0
Totals,DFW,4,US Airways,497
Delays,DFW,4,US Airways,72.0,3.0,1632.0,76.0,1218.0,0.0,1086.0
Totals,IAH,4,American Airlines,411
Delays,IAH,4,American Airlines,49.0,6.0,1116.0,398.0,1385.0,0.0,1373.0
Totals,IAH,4,Alaska Airlines,30
Delays,IAH,4,Alaska Airlines,4.0,1.0,0.0,4.0,7.0,0.0,42.0
Totals,IAH,4,Delta Air Lines,285
Delays,IAH,4,Delta Air Lines,44.0,0.0,902.0,55.0,1278.0,0.0,799.0
Totals,IAH,4,ExpressJet Airlines,5805
Delays,IAH,4,ExpressJet Airlines,786.0,118.0,14547.0,3195.0,14120.0,0.0,12493.0
Totals,IAH,4,Frontier Airlines,113
Delays,IAH,4,Frontier Airlines,29.0,1.0,215.0,0.0,961.0,0.0,1894.0
Totals,IAH,4,Spirit Airlines,443
Delays,IAH,4,Spirit Airlines,133.0,4.0,1422.0,296.0,3693.0,69.0,2738.0
Totals,IAH,4,SkyWest Airlines,1336
Delays,IAH,4,SkyWest Airlines,275.0,21.0,6341.0,1032.0,3518.0,87.0,6549.0
Totals,IAH,4,United Airlines,4707
Delays,IAH,4,United Airlines,1419.0,52.0,26121.0,1688.0,17957.0,0.0,24525.0
Totals,IAH,4,US Airways,377
Delays,IAH,4,US Airways,51.0,4.0,908.0,35.0,972.0,0.0,1260.0
Totals,LAS,4,American Airlines,792
Delays,LAS,4,American Airlines,112.0,5.0,1698.0,207.0,2833.0,0.0,3578.0
Totals,LAS,4,Alaska Airlines,394
Delays,LAS,4,Alaska Airlines,34.0,0.0,1550.0,28.0,299.0,205.0,801.0
Totals,LAS,4,JetBlue Airways,326
