RecordType,Origin,Month,CarrierName,Count,Cancellations,CarrierDelayMins,WeatherDelayMins,NasDelayMins,SecurityDelayMins,LateAircraftDelayMins
Totals,ATL,2,American Airlines,358
Delays,ATL,2,American Airlines,40.0,19.0,1452.0,7.0,663.0,0.0,1490.0
Totals,ATL,2,Alaska Airlines,28
Delays,ATL,2,Alaska Airlines,3.0,0.0,0.0,0.0,56.0,0.0,0.0
Totals,ATL,2,Delta Air Lines,17443
Delays,ATL,2,Delta Air Lines,3192.0,486.0,56761.0,20733.0,34722.0,0.0,33775.0
Totals,ATL,2,ExpressJet Airlines,4618
Delays,ATL,2,ExpressJet Airlines,997.0,194.0,30774.0,23.0,6091.0,0.0,21175.0
Totals,ATL,2,Frontier Airlines,161
Delays,ATL,2,Frontier Airlines,66.0,2.0,929.0,298.0,2245.0,0.0,2691.0
Totals,ATL,2,Envoy Air,153
Delays,ATL,2,Envoy Air,40.0,24.0,343.0,33.0,1242.0,0.0,1754.0
Totals,ATL,2,Spirit Airlines,224
Delays,ATL,2,Spirit Airlines,43.0,6.0,1242.0,0.0,1325.0,10.0,1199.0
Totals,ATL,2,SkyWest Airlines,378
Delays,ATL,2,SkyWest Airlines,108.0,17.0,2425.0,219.0,1040.0,45.0,4854.0
Totals,ATL,2,United Airlines,227
Delays,ATL,2,United Airlines,55.0,18.0,741.0,196.0,1033.0,0.0,1119.0
Totals,ATL,2,US Airways,464
Delays,ATL,2,US Airways,47.0,24.0,1471.0,17.0,1006.0,0.0,1330.0
Totals,ATL,2,Southwest Airlines,3312
Delays,ATL,2,Southwest Airlines,700.0,142.0,9325.0,940.0,3836.0,0.0,9735.0
Totals,DEN,2,American Airlines,442
Delays,DEN,2,American Airlines,110.0,19.0,1785.0,287.0,2426.0,0.0,2744.0
Totals,DEN,2,Alaska Airlines,112
Delays,DEN,2,Alaska Airlines,9.0,0.0,252.0,32.0,197.0,0.0,268.0
Totals,DEN,2,JetBlue Airways,76
Delays,DEN,2,JetBlue Airways,36.0,4.0,88.0,33.0,786.0,0.0,1696.0
Totals,DEN,2,Delta Air Lines,518
Delays,DEN,2,Delta Air Lines,114.0,12.0,2351.0,445.0,2311.0,0.0,2239.0
Totals,DEN,2,ExpressJet Airlines,1012
Delays,DEN,2,ExpressJet Airlines,280.0,54.0,5867.0,638.0,4351.0,0.0,5143.0
Totals,DEN,2,Frontier Airlines,1612
Delays,DEN,2,Frontier Airlines,392.0,6.0,4867.0,175.0,14307.0,0.0,11970.0
Totals,DEN,2,Spirit Airlines,251
Delays,DEN,2,Spirit Airlines,71.0,14.0,670.0,51.0,3052.0,0.0,1559.0
Totals,DEN,2,SkyWest Airlines,3510
Delays,DEN,2,SkyWest Airlines,1079.0,113.0,19463.0,3897.0,14296.0,44.0,28569.0
Totals,DEN,2,United Airlines,3575
Delays,DEN,2,United Airlines,1168.0,64.0,19374.0,2247.0,12175.0,0.0,17219.0
Totals,DEN,2,US Airways,332
Delays,DEN,2,US Airways,59.0,7.0,1252.0,69.0,1199.0,31.0,2018.0
Totals,DEN,2,Southwest Airlines,4202
Delays,DEN,2,Southwest Airlines,1109.0,108.0,15800.0,1300.0,7070.0,0.0,23052.0
Totals,DFW,2,American Airlines,11199
Delays,DFW,2,American Airlines,2010.0,897.0,43391.0,17918.0,40713.0,128.0,32307.0
Totals,DFW,2,Alaska Airlines,96
Delays,DFW,2,Alaska Airlines,10.0,0.0,26.0,5.0,61.0,0.0,97.0
Totals,DFW,2,JetBlue Airways,50
Delays,DFW,2,JetBlue Airways,15.0,10.0,1041.0,12.0,37.0,0.0,531.0
Totals,DFW,2,Delta Air Lines,415
Delays,DFW,2,Delta Air Lines,96.0,7.0,2501.0,1407.0,1457.0,0.0,1718.0
Totals,DFW,2,ExpressJet Airlines,1220
