RecordType,Origin,Month,CarrierName,Count,Cancellations,CarrierDelayMins,WeatherDelayMins,NasDelayMins,SecurityDelayMins,LateAircraftDelayMins
Totals,ATL,6,American Airlines,484
Delays,ATL,6,American Airlines,78.0,5.0,1200.0,513.0,1229.0,0.0,2619.0
Totals,ATL,6,Alaska Airlines,30
Delays,ATL,6,Alaska Airlines,5.0,1.0,0.0,0.0,17.0,0.0,178.0
Totals,ATL,6,Delta Air Lines,20814
Delays,ATL,6,Delta Air Lines,4279.0,87.0,78585.0,54710.0,50567.0,0.0,66973.0
Totals,ATL,6,ExpressJet Airlines,5504
Delays,ATL,6,ExpressJet Airlines,1284.0,69.0,39340.0,0.0,11116.0,0.0,25708.0
Totals,ATL,6,Frontier Airlines,531
Delays,ATL,6,Frontier Airlines,186.0,3.0,3245.0,330.0,6259.0,0.0,6310.0
Totals,ATL,6,Envoy Air,165
Delays,ATL,6,Envoy Air,45.0,13.0,462.0,161.0,2409.0,0.0,570.0
Totals,ATL,6,Spirit Airlines,369
Delays,ATL,6,Spirit Airlines,181.0,16.0,3982.0,468.0,7519.0,41.0,3369.0
Totals,ATL,6,SkyWest Airlines,311
Delays,ATL,6,SkyWest Airlines,65.0,16.0,2373.0,484.0,1865.0,0.0,2299.0
Totals,ATL,6,United Airlines,392
Delays,ATL,6,United Airlines,149.0,20.0,2912.0,690.0,1917.0,0.0,4115.0
Totals,ATL,6,US Airways,522
Delays,ATL,6,US Airways,82.0,4.0,1156.0,831.0,1919.0,0.0,2544.0
Totals,ATL,6,Southwest Airlines,3613
Delays,ATL,6,Southwest Airlines,1160.0,53.0,18886.0,6866.0,7748.0,0.0,30602.0
Totals,DEN,6,American Airlines,477
Delays,DEN,6,American Airlines,117.0,7.0,6893.0,322.0,1910.0,0.0,4227.0
Totals,DEN,6,Alaska Airlines,171
Delays,DEN,6,Alaska Airlines,22.0,0.0,1937.0,27.0,175.0,0.0,221.0
Totals,DEN,6,JetBlue Airways,93
Delays,DEN,6,JetBlue Airways,26.0,1.0,107.0,0.0,288.0,0.0,844.0
Totals,DEN,6,Delta Air Lines,663
Delays,DEN,6,Delta Air Lines,112.0,0.0,2758.0,239.0,1539.0,0.0,2278.0
Totals,DEN,6,ExpressJet Airlines,424
Delays,DEN,6,ExpressJet Airlines,115.0,12.0,2168.0,464.0,1452.0,0.0,3310.0
Totals,DEN,6,Frontier Airlines,1934
Delays,DEN,6,Frontier Airlines,425.0,2.0,6202.0,484.0,12313.0,0.0,10160.0
Totals,DEN,6,Spirit Airlines,390
Delays,DEN,6,Spirit Airlines,154.0,18.0,1264.0,100.0,3231.0,9.0,8152.0
Totals,DEN,6,SkyWest Airlines,4227
Delays,DEN,6,SkyWest Airlines,978.0,58.0,19057.0,3557.0,7592.0,0.0,27515.0
Totals,DEN,6,United Airlines,4507
Delays,DEN,6,United Airlines,1677.0,73.0,27118.0,4797.0,13907.0,0.0,48289.0
Totals,DEN,6,US Airways,439
Delays,DEN,6,US Airways,68.0,1.0,2947.0,0.0,684.0,0.0,2157.0
Totals,DEN,6,Southwest Airlines,5342
Delays,DEN,6,Southwest Airlines,1719.0,41.0,25252.0,3928.0,9018.0,0.0,48656.0
Totals,DFW,6,American Airlines,12142
Delays,DFW,6,American Airlines,3220.0,118.0,61336.0,10191.0,24882.0,103.0,72602.0
Totals,DFW,6,Alaska Airlines,144
Delays,DFW,6,Alaska Airlines,13.0,0.0,294.0,0.0,219.0,0.0,446.0
Totals,DFW,6,JetBlue Airways,56
Delays,DFW,6,JetBlue Airways,21.0,0.0,375.0,0.0,189.0,0.0,499.0
Totals,DFW,6,Delta Air Lines,517
Delays,DFW,6,Delta Air Lines,82.0,2.0,2055.0,354.0,880.0,0.0,2456.0
Totals,DFW,6,ExpressJet Airlines,2542
Delays,DFW,6,ExpressJet Airlines,838.0,71.0,27286.0,0.0,4513.0,0.0,26062.0
Totals,DFW,6,Frontier Airlines,112
Delays,DFW,6,Frontier Airlines,39.0,0.0,150.0,126.0,1331.0,0.0,1571.0
Totals,DFW,6,Envoy Air,4831
Delays,DFW,6,Envoy Air,1366.0,112.0,23946.0,9114.0,7319.0,562.0,24910.0
Totals,DFW,6,Spirit Airlines,828
Delays,DFW,6,Spirit Airlines,335.0,29.0,9430.0,352.0,9291.0,0.0,8096.0
Totals,DFW,6,SkyWest Airlines,416
Delays,DFW,6,SkyWest Airlines,107.0,13.0,1119.0,553.0,1941.0,0.0,3173.0
Totals,DFW,6,United Airlines,433
Delays,DFW,6,United Airlines,108.0,11.0,2293.0,155.0,2042.0,0.0,4748.0
Totals,DFW,6,US Airways,552
Delays,DFW,6,US Airways,93.0,3.0,1416.0,176.0,1222.0,0.0,2740.0
Totals,IAH,6,American Airlines,393
Delays,IAH,6,American Airlines,72.0,13.0,1514.0,491.0,869.0,0.0,1967.0
Totals,IAH,6,Alaska Airlines,30
Delays,IAH,6,Alaska Airlines,6.0,0.0,334.0,0.0,66.0,0.0,66.0
Totals,IAH,6,Delta Air Lines,357
Delays,IAH,6,Delta Air Lines,80.0,1.0,1097.0,93.0,1668.0,0.0,2846.0
Totals,IAH,6,ExpressJet Airlines,5605
Delays,IAH,6,ExpressJet Airlines,1128.0,158.0,25507.0,4445.0,18414.0,0.0,30030.0
Totals,IAH,6,Frontier Airlines,142
Delays,IAH,6,Frontier Airlines,54.0,2.0,501.0,0.0,2433.0,0.0,1701.0
Totals,IAH,6,Spirit Airlines,511
Delays,IAH,6,Spirit Airlines,294.0,30.0,9877.0,568.0,9795.0,62.0,6459.0
Totals,IAH,6,SkyWest Airlines,1479
Delays,IAH,6,SkyWest Airlines,461.0,39.0,12637.0,1305.0,4294.0,596.0,10324.0
Totals,IAH,6,United Airlines,5228
Delays,IAH,6,United Airlines,2072.0,118.0,44176.0,8015.0,21234.0,0.0,54328.0
Totals,IAH,6,US Airways,454
Delays,IAH,6,US Airways,59.0,5.0,1188.0,245.0,1393.0,0.0,2067.0
Totals,LAS,6,American Airlines,798
Delays,LAS,6,American Airlines,133.0,7.0,2480.0,349.0,2850.0,26.0,5494.0
Totals,LAS,6,Alaska Airlines,360
Delays,LAS,6,Alaska Airlines,31.0,3.0,1084.0,155.0,327.0,0.0,915.0
Totals,LAS,6,JetBlue Airways,406
Delays,LAS,6,JetBlue Airways,85.0,4.0,1609.0,0.0,1768.0,0.0,1933.0
Totals,LAS,6,Delta Air Lines,976
Delays,LAS,6,Delta Air Lines,135.0,3.0,6012.0,159.0,2162.0,0.0,1848.0
Totals,LAS,6,Frontier Airlines,429
Delays,LAS,6,Frontier Airlines,155.0,3.0,2456.0,63.0,4561.0,0.0,5153.0
Totals,LAS,6,Hawaiian Airlines,72
Delays,LAS,6,Hawaiian Airlines,6.0,0.0,1280.0,11.0,0.0,0.0,114.0
Totals,LAS,6,Spirit Airlines,840
Delays,LAS,6,Spirit Airlines,394.0,39.0,4870.0,289.0,9306.0,0.0,16636.0
Totals,LAS,6,SkyWest Airlines,175
Delays,LAS,6,SkyWest Airlines,24.0,4.0,508.0,247.0,170.0,0.0,954.0
Totals,LAS,6,United Airlines,1012
Delays,LAS,6,United Airlines,247.0,21.0,5319.0,409.0,3688.0,0.0,7425.0
Totals,LAS,6,US Airways,535
Delays,LAS,6,US Airways,54.0,3.0,1525.0,0.0,1320.0,23.0,629.0
Totals,LAS,6,Virgin America,322
Delays,LAS,6,Virgin America,57.0,1.0,1439.0,337.0,830.0,0.0,872.0
Totals,LAS,6,Southwest Airlines,6437
Delays,LAS,6,Southwest Airlines,2087.0,37.0,42627.0,1483.0,7580.0,10.0,45461.0
Totals,LAX,6,American Airlines,2708
Delays,LAX,6,American Airlines,433.0,29.0,9798.0,412.0,8393.0,156.0,13958.0
Totals,LAX,6,Alaska Airlines,757
Delays,LAX,6,Alaska Airlines,50.0,4.0,856.0,18.0,440.0,0.0,1408.0
Totals,LAX,6,JetBlue Airways,384
Delays,LAX,6,JetBlue Airways,92.0,0.0,1344.0,0.0,1752.0,12.0,1229.0
Totals,LAX,6,Delta Air Lines,2481
Delays,LAX,6,Delta Air Lines,559.0,8.0,12982.0,147.0,5320.0,0.0,12860.0
Totals,LAX,6,Frontier Airlines,141
Delays,LAX,6,Frontier Airlines,34.0,0.0,370.0,0.0,1343.0,0.0,1018.0
Totals,LAX,6,Hawaiian Airlines,167
Delays,LAX,6,Hawaiian Airlines,8.0,0.0,1224.0,0.0,42.0,22.0,6.0
Totals,LAX,6,Envoy Air,27
Delays,LAX,6,Envoy Air,6.0,2.0,191.0,0.0,141.0,0.0,244.0
Totals,LAX,6,Spirit Airlines,390
Delays,LAX,6,Spirit Airlines,203.0,20.0,5428.0,0.0,5085.0,2.0,9987.0
Totals,LAX,6,SkyWest Airlines,3345
Delays,LAX,6,SkyWest Airlines,735.0,53.0,16690.0,554.0,3650.0,34.0,19408.0
Totals,LAX,6,United Airlines,2758
Delays,LAX,6,United Airlines,907.0,39.0,15238.0,73.0,8974.0,0.0,24024.0
Totals,LAX,6,US Airways,719
Delays,LAX,6,US Airways,98.0,5.0,3172.0,0.0,1858.0,32.0,1463.0
Totals,LAX,6,Virgin America,1080
Delays,LAX,6,Virgin America,170.0,4.0,1325.0,540.0,5147.0,35.0,3570.0
Totals,LAX,6,Southwest Airlines,3576
Delays,LAX,6,Southwest Airlines,1223.0,116.0,15530.0,1238.0,4832.0,16.0,33882.0
Totals,MSP,6,American Airlines,325
Delays,MSP,6,American Airlines,60.0,6.0,583.0,0.0,1375.0,0.0,1849.0
Totals,MSP,6,Alaska Airlines,60
Delays,MSP,6,Alaska Airlines,7.0,0.0,178.0,0.0,194.0,0.0,127.0
Totals,MSP,6,Delta Air Lines,5806
Delays,MSP,6,Delta Air Lines,946.0,2.0,16506.0,1261.0,16052.0,30.0,12583.0
Totals,MSP,6,ExpressJet Airlines,628
Delays,MSP,6,ExpressJet Airlines,167.0,19.0,3530.0,44.0,1622.0,0.0,5740.0
Totals,MSP,6,Frontier Airlines,197
Delays,MSP,6,Frontier Airlines,65.0,2.0,669.0,17.0,2444.0,0.0,2667.0
Totals,MSP,6,Envoy Air,3
Delays,MSP,6,Envoy Air,3.0,1.0,5.0,0.0,0.0,0.0,33.0
Totals,MSP,6,Spirit Airlines,300
Delays,MSP,6,Spirit Airlines,149.0,30.0,1833.0,153.0,6426.0,13.0,4369.0
Totals,MSP,6,SkyWest Airlines,2608
Delays,MSP,6,SkyWest Airlines,385.0,27.0,10097.0,607.0,4244.0,0.0,9433.0
Totals,MSP,6,United Airlines,377
Delays,MSP,6,United Airlines,121.0,11.0,2371.0,96.0,3569.0,0.0,4068.0
Totals,MSP,6,US Airways,363
Delays,MSP,6,US Airways,56.0,3.0,552.0,1.0,1051.0,0.0,1047.0
Totals,MSP,6,Southwest Airlines,698
Delays,MSP,6,Southwest Airlines,204.0,13.0,2142.0,962.0,1413.0,0.0,5290.0
Totals,ORD,6,American Airlines,4565
Delays,ORD,6,American Airlines,1380.0,107.0,27062.0,3541.0,18671.0,0.0,39717.0
Totals,ORD,6,Alaska Airlines,185
Delays,ORD,6,Alaska Airlines,27.0,0.0,349.0,96.0,609.0,0.0,663.0
Totals,ORD,6,JetBlue Airways,250
Delays,ORD,6,JetBlue Airways,80.0,4.0,811.0,462.0,1947.0,0.0,3090.0
Totals,ORD,6,Delta Air Lines,675
Delays,ORD,6,Delta Air Lines,243.0,6.0,6793.0,1712.0,3054.0,0.0,7689.0
Totals,ORD,6,ExpressJet Airlines,3923
Delays,ORD,6,ExpressJet Airlines,987.0,228.0,17511.0,6683.0,20128.0,0.0,27407.0
Totals,ORD,6,Frontier Airlines,481
Delays,ORD,6,Frontier Airlines,224.0,2.0,3696.0,27.0,7074.0,0.0,6545.0
Totals,ORD,6,Envoy Air,6152
Delays,ORD,6,Envoy Air,1559.0,392.0,22250.0,4485.0,19113.0,18.0,32843.0
Totals,ORD,6,Spirit Airlines,990
Delays,ORD,6,Spirit Airlines,599.0,63.0,15452.0,741.0,15376.0,120.0,16011.0
Totals,ORD,6,SkyWest Airlines,3855
Delays,ORD,6,SkyWest Airlines,1091.0,219.0,25009.0,6320.0,14976.0,142.0,31204.0
Totals,ORD,6,United Airlines,5786
Delays,ORD,6,United Airlines,2437.0,194.0,54663.0,12887.0,28129.0,0.0,73930.0
Totals,ORD,6,US Airways,579
Delays,ORD,6,US Airways,125.0,7.0,2334.0,332.0,2327.0,0.0,3512.0
Totals,ORD,6,Virgin America,150
Delays,ORD,6,Virgin America,36.0,1.0,302.0,116.0,269.0,0.0,676.0
Totals,PHX,6,American Airlines,317
Delays,PHX,6,American Airlines,46.0,2.0,761.0,87.0,1560.0,0.0,729.0
Totals,PHX,6,Alaska Airlines,187
Delays,PHX,6,Alaska Airlines,13.0,0.0,349.0,22.0,45.0,0.0,245.0
Totals,PHX,6,JetBlue Airways,60
Delays,PHX,6,JetBlue Airways,20.0,0.0,216.0,0.0,54.0,0.0,410.0
Totals,PHX,6,Delta Air Lines,612
Delays,PHX,6,Delta Air Lines,70.0,1.0,1406.0,134.0,1242.0,0.0,1156.0
Totals,PHX,6,ExpressJet Airlines,1
Delays,PHX,6,ExpressJet Airlines,0.0,0.0,0,0,0,0,0
Totals,PHX,6,Frontier Airlines,150
Delays,PHX,6,Frontier Airlines,38.0,3.0,456.0,30.0,1717.0,0.0,734.0
Totals,PHX,6,Hawaiian Airlines,30
Delays,PHX,6,Hawaiian Airlines,0.0,0.0,203.0,41.0,0.0,0.0,0.0
Totals,PHX,6,Spirit Airlines,60
Delays,PHX,6,Spirit Airlines,18.0,2.0,89.0,0.0,938.0,0.0,355.0
Totals,PHX,6,SkyWest Airlines,1896
Delays,PHX,6,SkyWest Airlines,327.0,32.0,8345.0,190.0,3073.0,58.0,9749.0
Totals,PHX,6,United Airlines,403
Delays,PHX,6,United Airlines,99.0,11.0,1203.0,171.0,2050.0,0.0,2853.0
