RecordType,Origin,Month,CarrierName,Count,Cancellations,CarrierDelayMins,WeatherDelayMins,NasDelayMins,SecurityDelayMins,LateAircraftDelayMins
Totals,ATL,5,American Airlines,475
Delays,ATL,5,American Airlines,69.0,15.0,1269.0,688.0,1153.0,0.0,1832.0
Totals,ATL,5,Alaska Airlines,31
Delays,ATL,5,Alaska Airlines,9.0,0.0,64.0,25.0,50.0,0.0,125.0
Totals,ATL,5,Delta Air Lines,20891
Delays,ATL,5,Delta Air Lines,3202.0,56.0,57711.0,32135.0,33695.0,68.0,52147.0
Totals,ATL,5,ExpressJet Airlines,5106
Delays,ATL,5,ExpressJet Airlines,857.0,24.0,27918.0,0.0,7712.0,0.0,18381.0
Totals,ATL,5,Frontier Airlines,548
Delays,ATL,5,Frontier Airlines,153.0,3.0,2811.0,0.0,5349.0,0.0,4299.0
Totals,ATL,5,Envoy Air,139
Delays,ATL,5,Envoy Air,31.0,10.0,182.0,861.0,1358.0,15.0,806.0
Totals,ATL,5,Spirit Airlines,328
Delays,ATL,5,Spirit Airlines,130.0,4.0,2550.0,333.0,3485.0,33.0,3048.0
Totals,ATL,5,SkyWest Airlines,382
Delays,ATL,5,SkyWest Airlines,55.0,7.0,1422.0,72.0,1011.0,0.0,1960.0
Totals,ATL,5,United Airlines,353
Delays,ATL,5,United Airlines,125.0,3.0,2252.0,415.0,1395.0,0.0,3463.0
Totals,ATL,5,US Airways,509
Delays,ATL,5,US Airways,59.0,0.0,944.0,299.0,955.0,0.0,2255.0
Totals,ATL,5,Southwest Airlines,3636
Delays,ATL,5,Southwest Airlines,871.0,26.0,10351.0,2711.0,4828.0,37.0,23072.0
Totals,DEN,5,American Airlines,452
Delays,DEN,5,American Airlines,58.0,12.0,1444.0,60.0,2083.0,14.0,1519.0
Totals,DEN,5,Alaska Airlines,155
Delays,DEN,5,Alaska Airlines,12.0,0.0,227.0,0.0,173.0,0.0,159.0
Totals,DEN,5,JetBlue Airways,87
Delays,DEN,5,JetBlue Airways,19.0,1.0,30.0,56.0,501.0,0.0,378.0
Totals,DEN,5,Delta Air Lines,648
Delays,DEN,5,Delta Air Lines,79.0,1.0,1898.0,78.0,1420.0,0.0,1318.0
Totals,DEN,5,ExpressJet Airlines,640
Delays,DEN,5,ExpressJet Airlines,103.0,13.0,1914.0,252.0,1657.0,0.0,3789.0
Totals,DEN,5,Frontier Airlines,1956
Delays,DEN,5,Frontier Airlines,310.0,1.0,5131.0,275.0,10016.0,0.0,6463.0
Totals,DEN,5,Spirit Airlines,403
Delays,DEN,5,Spirit Airlines,132.0,11.0,1511.0,216.0,3317.0,0.0,4091.0
Totals,DEN,5,SkyWest Airlines,4131
Delays,DEN,5,SkyWest Airlines,723.0,36.0,14581.0,1979.0,5711.0,2.0,15250.0
Totals,DEN,5,United Airlines,4105
Delays,DEN,5,United Airlines,1004.0,19.0,12568.0,1989.0,11327.0,0.0,18124.0
Totals,DEN,5,US Airways,405
Delays,DEN,5,US Airways,36.0,2.0,880.0,109.0,825.0,0.0,614.0
Totals,DEN,5,Southwest Airlines,5124
Delays,DEN,5,Southwest Airlines,1209.0,13.0,14503.0,3463.0,7390.0,31.0,25446.0
Totals,DFW,5,American Airlines,12120
Delays,DFW,5,American Airlines,3040.0,373.0,52823.0,37792.0,34220.0,23.0,65589.0
Totals,DFW,5,Alaska Airlines,123
Delays,DFW,5,Alaska Airlines,26.0,0.0,68.0,124.0,272.0,2.0,674.0
Totals,DFW,5,JetBlue Airways,57
Delays,DFW,5,JetBlue Airways,23.0,0.0,139.0,28.0,149.0,0.0,555.0
Totals,DFW,5,Delta Air Lines,472
Delays,DFW,5,Delta Air Lines,83.0,1.0,2748.0,1673.0,1506.0,0.0,2962.0
Totals,DFW,5,ExpressJet Airlines,2110
Delays,DFW,5,ExpressJet Airlines,702.0,102.0,19153.0,0.0,5972.0,0.0,23786.0
Totals,DFW,5,Frontier Airlines,118
Delays,DFW,5,Frontier Airlines,36.0,0.0,100.0,61.0,1542.0,0.0,1330.0
Totals,DFW,5,Envoy Air,5022
